	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
6085	"Friday, February 14, 2014 â€“ NestlÃ© USAâ€™s Prepared Foods Division today announced the voluntary recall of HOT POCKETSÂ® brand Philly Steak and Cheese in three different pack sizes and HOT POCKETSÂ® brand Croissant Crust Philly Steak and Cheese, in the two pack box.. ."	NestlÃ© USAâ€™s Prepared Foods Division	NestlÃ© USAâ€™s Prepared Foods Division	ORG	cheese	0.757945472	cheese	0.80625
6087	"â€œBottling public water for private profit doesnâ€™t make sense for communities and it doesnâ€™t make sense for the environment,â€ù said Sandra Lupien, Western Region Communications Manager at Food & Water Watch, also at the protest in Sacramento."	Sandra Lupien	Western Region Communications Manager	PERSON	water	0.873146186	water	0.7578125
6090	"The Detroit Water and Sewerage Department announced plans to shut off water service for 1,500 to 3,000 customers every week if their water bills were not paid."	Sewerage Department	Sewerage Department	ORG	water	0.922181373	water	0.7578125
6091	"Last March, the Detroit Water and Sewerage Department (DWSD) announced plans to shut off water service for 1,500 to 3,000 customers every week if their water bills were not paid."	Sewerage Department	Sewerage Department	ORG	water	0.922181373	water	0.7578125
6096	"In fact, research has shown that a moderate amount of protein and carbs (or even protein alone, more on that soon) can max out the muscle protein response after exercise.. ."	authority	authority	authority	fat	0.705374575	fat	0.80625
6098	"The commissioner of climate change in the ministry of Water and Environment, Mr Chebet Maikut, said: â€œ...while the dry season has been a normal annual occurrence in the region, there are some particular cases of unprecedented early or late onset/absence of the rains.â€ù He said the country should build resilient communities and ecosystems through restoration of wetlands and associated water catchments to resist climate change impact.. ."	Mr Chebet Maikut	unknown	PERSON	water	0.946180556	water	0.838541667
6099	"The Minister of Water and Environment, Mr Sam Cheptoris, said the ministry was already calling for national and regional response, advocating for climate change sensitive approaches across all government sectors, educating the population about climate change and undertaking emissions profiles.. ."	Mr Sam Cheptoris	unknown	PERSON	water	0.946180556	water	0.80625
6106	"The researchers believe theirs is the first study to test the safety of Internet-sold milk, although several others have documented bacteria in mothers' own milk or in milk bank donations."	authority	authority	authority	milk	0.870949074	milk	0.7578125
6107	"The researchers believe theirs is the first study to test the safety of Internet-sold milk, although several others have documented bacteria in mothers' own milk or in milk bank donations."	authority	authority	authority	milk	0.830452128	milk	0.7578125
6114	"Interestingly, â€œinedibleâ€ù on the label means the meat is not fit for human consumption, which means itâ€™s feed grade, not FOOD grade meat, yet until very recently, Evangerâ€™s claimed their products were made with human-grade, USDA inspected meat.5 The company has removed the claim from their website, but you can see an older screen capture of the human-grade statement here at Susan Thixtonâ€™s site, Truth About Pet Food.. ."	Evangerâ€™s	unknown	PERSON	meat	0.744391026	meat	0.7578125
6115	"The European Court of Justice rejected an appeal lodged by Philip Morris International and British American Tobacco.The challenge was brought because the firms argued the heavy-handed approach of the TPD would weigh heavily on profits and went beyond what was appropriate or necessary.The tough EU law will standardise cigarette packs, ban menthol flavouring and (of importance to us) restrict e-cigarette advertising.The ruling paves the way for the adoption of the TPD on the 20th of this month and meats out a massive blow to the vape industry at large.Further impacts include a limit to the level of nicotine in liquids, a restriction on the size of tanks available and how vaping can be discussed on the Internet.Surprisingly, ASH (who have previously spoken in favour of electronic cigarettes) announced they welcomed the ruling.Unsurprisingly, Martin McKee and Sally Davies welcomed it too, Davies managing to obtain a full five â€œLikesâ€ù for her supportive tweet â€“ so clearly a popular opinion on the Twitter micro-blogging website.The recent RCP report joined the previous PHE release calling for â€œsensible regulation.â€ù It is an observation that has gone unheeded and will doubtless drive vapers back to smoking or into the clutches of unregulated illegal imports from non-European countries.In fact, Clive Bates illustrated the ease and the danger of such a move in his blog this week.Bates ordered a bottle of 99% nicotine from the Far East and only had to tick a box to say he was â€œan expertâ€ù.The possibility of bottles like these breaking during their journey will pose a far greater risk to people than vaping ever has.Commentators have also poured scorn on the FDA ruling.Tom Pruen, science officer for ECITA, wrote: â€œNew to FDA regulation?"	ASH (	ASH (	ORG	cancer	0.903125	cancer	0.80625
6116	"More bad news in #ecigdeeming.â€ù Meanwhile, Joe Glitchell wrote: â€œThe FDA just gained control over the $3-billion e-cigarette industry with one sweeping rule.â€ùIn their 499-page release, the FDA have struck down on the previously inventive and efficient marketplace.The fact that it has been greeted so enthusiastically by the Campaign for Tobacco-Free Kids and The American Lung Association (ALA) is all the damning it needs.The ALA president said: â€œAt last, the Food and Drug Administration will have basic authority to make science-based decisions that will protect our nationâ€™s youth and the public health from all tobacco products, including e-cigarettes.â€ù The ALA have made a point of ignoring all the evidence to date â€“ including the simple fact that ecigs are not tobacco products.But even he was not completely happy: â€œThe concern is for at least three years, flavoured e-cigarette products will remain on the market no matter how many kids are using them.â€ù Because it doesnâ€™t matter that the RCP found no evidence of normalisation or a gateway effect, and adults clearly donâ€™t need flavours."	The American Lung Association	The American Lung Association	ORG	cancer	0.903125	cancer	0.7578125
6117	"A day's worth of exercise without even an energy bar might sound masochistic, but all of us (even 141-pound Ballinger) have close to 100,000 calories in fat stores readily available to burn, versus the mere 2,000 calories of stored calories from carbs, Johnston says."	Scott Johnston	unknown	PERSON	fat	0.783694442	fat	0.861607143
6119	"""We've responded to moms' wishes for higher-fiber foods that their kids already love with more than 30 cereals that include a good source of fiber and whole grains,"" said David Denholm, president of U.S."	David Denholm	unknown	PERSON	rice	0.715880654	rice	0.7578125
6120	"""All whole-grains are not created equal, so it's important to look for foods with whole grain that are also a good source of fiber with 3 grams or more,"" says DeAnn Liska, Ph.D., senior director of nutrition science at Kellogg Company and a co-author of a recent article in Nutrition Today (3) that detailed consumer confusion over fiber and whole grains."	DeAnn Liska	Kellogg Company	PERSON	rice	0.715880654	rice	0.80625
6121	Simmons says about 80 percent of fast-food revenue comes from drive-throughs alone for fast-food restaurants like Burger King.	Brian Simmons	unknown	PERSON	fast food	0.803125	fast food	0.7578125
6122	"Carl Campbell, Northern Illinois University economics professor, says this kind of model could lower both building and labor costs for fast-food restaurants, even if entry-level wages were raised for fast-food workers."	Carl Campbell	Northern Illinois University	PERSON	fast food	0.803125	fast food	0.7578125
6123	"From a BBC article titled Low-fat diets â€˜better than cutting carbsâ€™ for weight loss: Cutting fat from your diet leads to more fat loss than reducing carbohydrates, a US health study shows."	authority	authority	authority	fat	0.797159785	fat	0.80625
6125	"From scrutinizing each rung on the supply chain ladder, to reducing waste and water use, sustainability is a crucial element in your companyâ€™s continuing ability to successfully grow and compete in a world of shrinking resources and expanding population.â€œItâ€™s fairly easy to make the case [for building a sustainability strategy], because global population is set to double by 2050, and we have to figure out how to feed the world and do it in a sustainable fashion,â€ù says Dexter Manning , Grant Thornton LLP Food and Beverage practice leader."	Dexter Manning	unknown	PERSON	water	0.841312888	water	0.7578125
6126	"Gurian-Sherman explains, â€œIn reality, corn engineered to kill certain insect pests â€“ AKA Bt corn â€“ has mainly resulted in the replacement of one group of chemical insecticides with another.â€ù The new study proves the point with hard data.. ."	authority	authority	authority	water	0.834635417	water	0.7578125
6141	"And some fitness trainers still use hand-held fat calibers to measure body fat, but their accuracy depends on the trainerâ€™s skill level, says Cedric Bryant, chief science officer of the American Council on Exercise.. ."	Cedric Bryant	the American Council on Exercise	PERSON	fat	0.841073322	fat	0.80625
6145	Bryant says the best fat-burning exercise is the exercise you stick with.	Cedric Bryant	unknown	PERSON	fat	0.841073322	fat	0.7578125
6149	"Estimates on how many bottles actually get recycled vary, but the carbon footprint of the industry is inarguably huge, especially once you factor in how much water it takes to make water, which Ertug Ercin at the Water Footprint Network has predicted could be up to six or seven times that in the bottle.. ."	Ertug Ercin	Ertug Ercin	ORG	water	0.745913133	water	0.7578125
6150	"""Use it at the fish counter when shopping for seafood, at a restaurant while you are dining out, or when you're looking for retailers in your area that source sustainable seafood,"" says Nathan Lyon, a chef, cookbook author, and sustainable ambassador for the Monterey Bay Aquarium.. ."	Nathan Lyon	the Monterey Bay Aquarium	PERSON	fish	0.75333171	fish	0.7578125
6151	"""Pollock is just as good as cod, porgy is so flavorful that you can use it just like you use bass, and cape shark is one of the most used fish in England for fish & chips,"" says Seadon Shouse, chef at Halifax in Hoboken, New Jersey, who routinely turns ""trash fish"" into treasure."	Seadon Shouse	unknown	PERSON	fish	0.75333171	fish	0.80625
6155	"Mind your mercury Antonio-Danna/Shutterstock While swordfish, shark, tilefish, and King mackerel are known to contain mercury, which can negatively affect the central nervous system, the average person won't get mercury poisoning from eating recommended amounts of commercially sold seafood (meaning, seafood that is sold in restaurants and supermarkets), says Rima Kleiner, a dietitian and blogger at While swordfish, shark, tilefish, and King mackerel are known to contain mercury, which can negatively affect the central nervous system, the average person won't get mercury poisoning from eating recommended amounts of commercially sold seafood (meaning, seafood that is sold in restaurants and supermarkets), says Rima Kleiner, a dietitian and blogger at Dish on Fish ."	Rima Kleiner	unknown	PERSON	fish	0.75333171	fish	0.707720588
6156	Facebook poster Heather Griffis says the Texan Cafe is â€œthe only place that makes awesome peanut butter pie.â€ù.	Facebook	unknown	PERSON	butter	0.753136231	butter	0.7578125
6165	"""A lot of the extra energy expenditure that we found probably reflects the increased requirements for protein storage,"" Bray says, explaining that the body uses up more calories when it builds muscle than when it stores fat.. ."	George A. Bray	unknown	PERSON	fat	0.842882515	fat	0.80625
6166	"In addition to losing weight, people who are overweight or obese should consume adequate protein and focus on improving their ratio of body fat to lean muscle, Heber says."	David Heber	unknown	PERSON	fat	0.842882515	fat	0.7578125
6168	"""They did not address or question the overwhelming scientific evidence that high fructose corn syrup is a form of sugar and is nutritionally the same as other sugars,"" Erickson said."	Audrae Erickson	unknown	PERSON	sugar	0.930908233	sugar	0.80625
6169	"22nd Century Group, Inc. (NYSE MKT:XXII), a plant biotechnology company that is a leader in tobacco harm reduction, announced today that the Company and its wholly-owned subsidiary, Goodrich Tobacco Company, held yesterday a very encouraging and productive meeting with the Office of Science of the Center for Tobacco Products (CTP) of the U.S. Food and Drug Administration (FDA)."	Inc. (	Inc. (	ORG	cancer	0.869243421	cancer	0.7578125
6170	"22nd Century Group, Inc. (NYSE MKT:XXII), a plant biotechnology company that is a leader in tobacco harm reduction, announced today that the Company and its wholly-owned subsidiary, Goodrich Tobacco Company, held yesterday a very encouraging and productive meeting with the Office of Science of the Center for Tobacco Products (CTP) of the U.S. Food and Drug Administration (FDA)."	Inc. (	Inc. (	ORG	cancer	0.858035714	cancer	0.7578125
6190	"""Ice cream is super hard to keep really cold but we like to keep them in -30 C,"" said Megan Remi, working at the Homestead Ice Cream tent.. ."	Megan Remi	unknown	PERSON	restaurants	0.751953125	restaurants	0.80625
6200	"Dr. Lawrence Edwards, Chairman and Chief Executive Officer of the Gout and Uric Acid Education Society (GUAES), said: â€œA new approach to treating gout is long overdue given there has been limited therapy innovation over the last 50 years."	Lawrence Edwards	Uric Acid Education Society	PERSON	cholesterol	0.85477611	cholesterol	0.7578125
6247	"""When â€˜whole grainâ€™ waffles can be made with white flour and â€˜all naturalâ€™ ingredients can contain synthetic high-fructose corn syrup, itâ€™s clear our food labels are due for a makeover,"" Laura MacCleery, director of regulatory affairs at the Center for Science and Public Interest, said in a news release.. ."	Laura MacCleery	the Center for Science and Public Interest	PERSON	sugar	0.71875	sugar	0.7578125
6266	"Uel Morton, chief executive at Quality Meat Scotland, said the key to unlocking the funding was Scotch beef and lambâ€™s Protected Geographical Indication (PGI) status.. ."	Uel Morton	Quality Meat Scotland	PERSON	meat	0.819602273	meat	0.7578125
6267	"The North American Meat Institute, based on data compiled by the federal government from 1999 through 2002, said: â€œJust a small fraction of total meat and poultry consumption is processed meat and poultry."	The North American Meat Institute	The North American Meat Institute	ORG	meat	0.716592993	meat	0.861607143
6269	"In one recently published study, peripheral blood mononuclear cells (PBMC) from zinc-deficient elderly showed impaired NF-ÎºB activation and interleukin (IL)-2 production in response to stimulation with PHA, which was corrected by in vivo supplementation of zinc (45 mg/day as gluconate) for 6 months or ex vivo supplementation of zinc to PBMC [33], indicating a link between zinc deficiency and the effect of zinc on NF-ÎºB signaling."	PBMC	PBMC	ORG	cholesterol	0.70227479	cholesterol	0.71875
6279	"Plastic is so durable that the EPA reports Ã¢Â€Âœevery bit of plastic ever made still exists.Ã¢Â€Âù Due to its low density, plastic waste is readily transported long distances from source areas and concentrates in gyres, systems of rotating ocean currents."	the Environmental Protection Agency	the Environmental Protection Agency	ORG	fish	0.828293011	fish	0.7578125
6284	"Raymond,a dairy farmer himself, said: â€œThe recent milk price cuts from most processors have had a massive impact, with some farmers now facing their lowest milk prices since 2007 at around 20p a litre."	Meurig Raymond	unknown	PERSON	milk	0.721362614	milk	0.7578125
6285	"In its approval announcement in November, the FDA said it determined â€œfood from AquAdvantage Salmon is as safe to eat and as nutritious as food from other non-GE Atlantic salmon and that there are no biologically relevant differences in the nutritional profile of AquAdvantage Salmon compared to that of other farm-raised Atlantic salmon.â€ù."	the Food and Drug Administration	the Food and Drug Administration	ORG	fish	0.863146552	fish	0.80625
6289	"In the case of its GE salmon, AquaBounty says the fish grows to market size using 25 percent less feed than any Atlantic salmon on the market today.. ."	AquaBounty	AquaBounty	ORG	fish	0.863146552	fish	0.7578125
6294	"â€œWhile the FDA thinks the fish are ready for primetime, the massive response of retailers show that those that would actually eat the fish remain unconvinced,â€ù George Leonard, a scientist with Ocean Conservancy who testified before Congress on the GMO salmon, tells TakePart.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	fish	0.824448529	fish	0.7578125
6299	"Richard Penson, MD, Clinical Director of Medical Gynecologic Oncology at Massachusetts General Hospital Cancer Center, Associate Professor of Medicine at Harvard Medical School, and the primary investigator in the SOLO-2 trial, said: â€œTodayâ€™s approval demonstrates that olaparib is an effective option for maintenance therapy for certain ovarian cancer patients, regardless of BRCA status."	Richard Penson	"MD,"	PERSON	cancer	0.744549419	cancer	0.7578125
6308	"Organic Pastures produces about 2,400 gallons of milk a day, which is ""95% of the raw milk in California, so the bottom line is California is not going to have its raw milk,"" McAfee says.. ."	Mark McAfee	unknown	PERSON	milk	0.73205406	milk	0.7578125
6310	"â€œThe protein industry has, for the most part, been dominated by beef and poultry, but given consumersâ€™ growing interest in and demand for pork, the time was right for us to add an antibiotic-free pork option for customers,â€ù said Bob Meyer, founder and owner of the company."	Bob Meyer	unknown	PERSON	meat	0.884191176	meat	0.838541667
6313	"In documents posted on the FDA's website on Friday, staff scientists said their review of data from those trials and other studies suggested ABP 501 and Humira are ""highly similar"" in their safety, purity and potency in the studied indications of rheumatoid arthritis and plaque psoriasis.. ."	authority	authority	authority	vision	0.80625	vision	0.7578125
6336	"Mitch Zeller said, â€œThe main news here is that finally e-cigarettes, cigars, hookah, and pipes will be regulated by the FDA, which is a milestone in consumer protection.â€ù Congress told the agency, â€œYouâ€™re in the business of regulating tobacco products to reduce disease and death from tobacco.â€ù But the original grant of authority only covered cigarettes, cigarette tobacco, roll-your-own tobacco and smokeless tobacco.. ."	Mitch Zeller	unknown	PERSON	cancer	0.811011905	cancer	0.838541667
6338	"What does â€œdeemingâ€ù mean and how is the FDA getting control of vape products?The Tobacco Control Act does not currently cover e-cigarettes, so in April 2014 FDA The Tobacco Control Act does not currently cover e-cigarettes, so in April 2014 FDA announced it was initiating the process of â€˜deemingâ€™ e-cigarettes (as well as a several other tobacco products such as dissolvable tobacco, hookah, little and big cigars, and pipes) to be tobacco products under the definition used in the Act â€“ and that process has not yet completed, but itâ€™s how FDA asserts it has powers over vape products."	FDA	FDA	ORG	cancer	0.929129464	cancer	0.838541667
6339	"While AquaBountyâ€™s president once told Reuters that AquAdvantage is â€œan Atlantic salmon in every measurable way,â€ù studies by researchers who have compared genetically modified salmon to their wild counterparts have shown that the fish behave differently."	authority	authority	authority	fish	0.75078125	fish	0.7578125
6343	"Several reviewers of DeVitaâ€™s book noted that in early January, after it was published, The New York Times reported that the FDAâ€™s approval of cancer drugs has speeded up since 2012, when the wife of FDA oncology chief Dr. Richard Pazdur was diagnosed with ovarian cancer.. ."	The New York Times	The New York Times	ORG	cancer	0.782116711	cancer	0.7578125
6344	Sanofi announced that the Food and Drug Administration (FDA) has approved Soliqua 100/33 (insulin glargine & lixisenatide injection) for the treatment of adults with type 2 diabetes inadequately controlled on basal insulin (<60 units daily) or lixisenatide.. .	Sanofi	Sanofi	ORG	diabetes	0.8015625	diabetes	0.7578125
6355	"A study published in a 2012 edition of the â€œJournal of the American Medical Associationâ€ù reports that study participants fed an increased-calorie, weight-gain diet gained more weight on normal-protein or high-protein diets compared with low-protein diets."	the â€œJournal of	the â€œJournal of	ORG	fat	0.718076641	fat	0.80625
6361	"A blog post by Embrace Hearing suggests the bundled price â€” when patients over-pay for hearing aids but get free service on the devices â€” may be equivalent to paying $1,000 a visit for the services of a technician to adjust a hearing aid."	Embrace Hearing	unknown	PERSON	milk	0.9296875	milk	0.7578125
6362	"â€œGolden Rice has a very great potential to help address the problem of vitamin A deficiency since we Filipinos are rice lovers,â€ù said Dr. Roel Suralt, the PhilRice Golden Rice project leader."	Golden Rice	the PhilRice	PERSON	rice	0.910511364	rice	0.7578125
6363	"â€œIn 2006, IRRI and its partners began working with a new version of the Golden Rice trait that produces significantly more beta-carotene than the 1999 prototype, and it is this version of Golden Rice that is still under development and evaluation,â€ù said IRRI officials."	the International Rice Research Institute	the International Rice Research Institute	ORG	rice	0.910511364	rice	0.7578125
6373	"Kuala Lumpur, Malaysia, August 31, 2017 â€“ PureCircle Ltd, the leading global innovator and supplier of stevia sweeteners, reports that the use of stevia in beverage and food products is expanding rapidly.. ."	PureCircle Ltd	PureCircle Ltd	ORG	sugar	0.795099793	sugar	0.7578125
6378	"Heart failure patients with diabetes were removed from the ATMOSPHERE trial when the drug aliskiren, marketed as Tekturna, was found to be no better than two other drugs and in some cases caused excess risk of cardiovascular and renal events, researchers said in a presentation at Heart Failure 2016.. ."	authority	authority	authority	diabetes	0.814348754	diabetes	0.7578125
6380	"Interestingly, studies show that a potassium-rich diet may help prevent osteoporosis by reducing how much calcium the body loses through urine (24, 25, 26)."	authority	authority	authority	stress	0.741757369	stress	0.80625
6381	"Calcium is a common mineral in kidney stones, and several studies show that potassium citrate lowers calcium levels in urine (29, 30)."	authority	authority	authority	stress	0.741757369	stress	0.838541667
6382	"In another testament to the popularity of raw milk among raw-milk advocates, McAfee said that during the recall, people were shelling out $10 for a quart for raw milk from Claravale Farm in San Benito County.. ."	Mark McAfee	unknown	PERSON	milk	0.73294416	milk	0.7578125
6385	The Los Angeles Times reported that the LA fast food ordinance â€œwas meant to be part of a larger strategy that includes bringing grocery stores and farmers markets to replace fast-food restaurants.	The Los Angeles Times	The Los Angeles Times	ORG	fast food	0.807459677	fast food	0.7578125
6386	The Los Angeles Times reported that the LA fast food ordinance â€œwas meant to be part of a larger strategy that includes bringing grocery stores and farmers markets to replace fast-food restaurants.	The Los Angeles Times	The Los Angeles Times	ORG	fast food	0.801041667	fast food	0.7578125
6397	"A similar study reported in the New York Times, stated that â€œwhen used for six to nine months, triclosan-fluoride toothpastes reduced plaque severity by 41 percent more than fluoride pastes alone.â€ù The news source continued that â€œtriclosan-fluoride combination reduced gum inflammation by 22 percent more and gum bleeding by 48 percent more than fluoride alone.â€ù."	the New York Times	the New York Times	ORG	liver	0.925480769	liver	0.739554329
6399	"In fact, studies do show that long-term, low-magnesium diets result in lower content of the mineral in red blood cells, and that magnesium supplementation improves RBC Magnesium content while having no effect on serum magnesium in those who are deficient â€“ such as diabetics, obese people, and migraine sufferers.5."	authority	authority	authority	stress	0.857063343	stress	0.80625
6401	"""Cancer spreads to the brain in about half of people with ALK-positive lung cancer, and these studies suggest that alectinib can shrink tumors in people with this difficult-to-treat disease,"" said Sandra Horning, M.D., chief medical officer and head of Global Product Development."	Sandra Horning	Global Product Development	PERSON	cancer	0.786458333	cancer	0.7578125
6403	"The Food and Drug Administration (FDA) announced the addition of Boxed Warnings to the drug labeling of prescription opioid pain and prescription opioid cough medicines, and benzodiazepines.. ."	Food and Drug Administration	Food and Drug Administration	ORG	diabetes	0.71370201	diabetes	0.7578125
6405	"SAN DIEGO, Jan. 4, 2017 /PRNewswire/ -- Neurelis, Inc. today announced that the US Food and Drug Administration (FDA) has designated NRL-1 (intranasal diazepam) as a Fast Track Development program for the management of selected, refractory patients with epilepsy, on a stable regimen of anti-epileptic drugs (AEDs), who require intermittent use of diazepam to control bouts of increased seizures also referred to as acute repetitive or cluster seizures."	"Neurelis, Inc."	"Neurelis, Inc."	ORG	vision	0.91796875	vision	0.7578125
6412	"Ms. Sullivan further stated: â€œIMMU-132 is also in Phase 2 trials in patients with advanced, heavily-pretreated, non-small-cell lung cancer, small-cell lung cancer, and urothelial cancers, where encouraging results have been observed."	Cynthia L. Sullivan	unknown	PERSON	cancer	0.844292017	cancer	0.80625
6413	"Ms. Sullivan further stated: â€œIMMU-132 is also in Phase 2 trials in patients with advanced, heavily-pretreated, non-small-cell lung cancer, small-cell lung cancer, and urothelial cancers, where encouraging results have been observed."	Cynthia L. Sullivan	unknown	PERSON	cancer	0.835704547	cancer	0.80625
6415	"Ms. Sullivan further stated: â€œIMMU-132 is also in Phase 2 trials in patients with advanced, heavily-pretreated, non-small-cell lung cancer, small-cell lung cancer, and urothelial cancers, where encouraging results have been observed."	Cynthia L. Sullivan	unknown	PERSON	cancer	0.852025015	cancer	0.80625
6460	"Federal agents in Chicago have seized 60 tons of illegally imported Chinese honey valued at more than $200,000 destined for U.S. consumers, the U.S. Department of Homeland Security said Thursday.Authorities with the U.S. Immigration and Customs Enforcement's (ICE) Homeland Security Investigations (HSI) found three shipping container loads (195 barrels) of bulk honey on April 28 that was falsely declared as originating from Vietnam to evade anti-dumping duties applicable to Chinese-origin honey.In March, officials in Chicago were notified of the suspect honey by a Midwest honey packer who obtained laboratory reports that ""appeared fraudulently altered,"" officials said.The U.S. Customs and Border Protection (CBP) laboratory in Savannah, Ga., determined that the honey had a greater than 99 percent probability match with Chinese-origin honey.The investigation continues to determine where in the supply chain the private laboratory reports were altered for the honey, authorities said.In December 2001, the U.S. Commerce Department imposed anti-dumping duties after determining that Chinese-origin honey was being sold in the United States at less than fair-market value.According to the Department of Homeland Security, ""In 2008, federal authorities in Chicago began investigating allegations of organizations circumventing anti-dumping duties through illegal imports, including transshipment and mislabeling, on the ""supply side"" of the honey industry."	the U.S. Department of	the U.S. Department of	ORG	sugar	0.876953125	sugar	0.911931818
6461	"Dr. Perricone, a foremost skin care expert, states that, â€œBlueberry along with the acai berry have one of the highest known levels of antioxidants of any food.â€ù These delicious berries are packed with vitamins, essential fatty acids, amino acids and antioxidants."	Perricone	unknown	PERSON	fruit	0.720620884	fruit	0.80625
6466	"The President of the Wheat Farmers Association of Nigeria, Malam Saleh Mohammed, said many rice farmers were also wheat farmers, adding that the productivity level of both sets of farmers had already gone up."	Malam Saleh Mohammed	the Wheat Farmers Association of Nigeria	PERSON	rice	0.949013158	rice	0.7578125
6469	"The results, published in the New England Journal of Medicine1 and presented at the American College of Cardiology conference in Washington DC on 17 March, show that a drug called evolocumab (Repatha) reduced the risk of cardiovascular death, heart attack and stroke by about 20% in patients who were already taking other cholesterol-controlling drugs called statins."	the New England Journal of	the New England Journal of	ORG	cholesterol	0.823615007	cholesterol	0.7578125
6470	"The Environmental Protection Agency announced â€_ that it has given major Florida citrus grower Southern Gardens approval for large-scale field testing of citrus trees that have been genetically engineered to resist citrus greening, a ruinous disease that has caused orange production to plummet to the lowest levels seen in decades.â€_Southern Gardens â€_ has been developing the trees for years now."	The Environmental Protection Agency	The Environmental Protection Agency	ORG	fruit	0.919270833	fruit	0.7578125
6471	"â€œOur industry faces challenges as the need for action on climate change, water scarcity and other sustainability issues becomes more urgent,â€ù the report states."	authority	authority	authority	water	0.76860179	water	0.7578125
6473	"Clinical studies have demonstrated that the UV-free blue LED light emitted by Philips' BlueControl wearable device induces natural, drug-free processes in the skin to significantly reduce symptoms of mild psoriasis vulgaris - the most common form of psoriasis - such as redness, scaling and thickness of psoriasis plaques.. ."	authority	authority	authority	vision	0.814453125	vision	0.7578125
6474	"Given that nivolumab acts not by targeting cancer-specific molecules, but rather works by releasing a brake on cancer-fighting immune cells called T cells, it is hoped that further research will show that it has activity against additional types of cancer."	authority	authority	authority	cancer	0.774147727	cancer	0.7578125
6476	"A study recently released by the International Water Management Institute (IWMI) revealed that small scale irrigation and water harvesting techniques were responsible for a near tripling of sub-Saharan Africa's yields, uncovering a revolution in the ways in which smallholders like Muema and Mwende were driving low-cost farm and community water management."	the International Water Management Institute	the International Water Management Institute	ORG	water	0.713948753	water	0.7578125
6478	"A translated document seen by NutraIngredients stated: â€œDirective 2002/46/EC [2002 EU Food Supplements Directive], article 5, states that maximum amounts of vitamins and minerals in supplements will also be set taking â€˜due accountâ€™ of reference values â€‹â€‹for the population, and not only of safety.â€ù."	NutraIngredients	NutraIngredients	ORG	stress	0.766544118	stress	0.7578125
6480	"""We have got around 17 acres in the food park from West Bengal Industrial Development Corporation to set up our centralised milk processing plant in the country,"" Managing Director Amul Dairy K Rathnam said.Work on the plant would start in 2017 and is expected to be completed by 2018-end, he said.The proposed plant will manufacture UHD milk, yoghurt and ghee besides normal milk."	Rathnam	unknown	PERSON	milk	0.939453125	milk	0.80625
6486	"KEENE â€” Carrot, the â€œspokesvegetableâ€ù against food waste and a â€œwaste buffetâ€ù displaying uneaten food from the Keene State College cafeteria made the collegeâ€™s sustainability efforts stand out to the Environmental Protection Agency, prompting the agency to recognize the college for its educational and outreach program to prevent food waste.Keene State has been honored by the EPA in the past with regional awards, said Heather Greenwood, Keene State College Campus Sustainable Material Management Specialist, on Tuesday.But this is the first time it has received a national award.â€œItâ€™s the first time weâ€™ve ever been nationally recognized,â€ù Greenwood said, adding Keene State is the sole organization to be nationally recognized for outreach and education in food waste prevention efforts this year.It has been a collaborative effort on the part of the sustainability staff, student representatives and the collegeâ€™s food service provider, Sodexo, to reduce food waste.While food scraps from the kitchen or the salad bar are composted, â€œWe donâ€™t have the ability to do post-consumer compost,â€ù Greenwood said, meaning if itâ€™s left on the plate or tossed in the trash itâ€™s going into a landfill.â€œSodexo has done a really amazing job of being aware of our culture of sustainability here on campus,â€ù Greenwood said."	Keene State	Keene State College Campus Sustainable Material Management Specialist	PERSON	water	0.838541667	water	0.7578125
6494	"""ViaCyte was the first to differentiate human stem cells into glucose-responsive, insulin-producing cells, and now we are running the first and only clinical trials of stem cell-derived islet replacement therapies for type 1 diabetes,"" said Paul Laikind, PhD, President and CEO of ViaCyte."	Paul Laikind	unknown	PERSON	diabetes	0.931326362	diabetes	0.80625
6497	"Antibiotics arenâ€™t only used to pad a chickenâ€™s weight, itâ€™s â€œto compensate for dirty and crowded conditions common in factory farms,â€ù says Kevin Warden, owner and president of Flyrite Chicken, a very new chain in Austin, Texas that, yes, serves chicken thatâ€™s free of antibiotics.. ."	Kevin Warden	Flyrite Chicken	PERSON	chicken	0.759698276	chicken	0.838541667
6504	"Studies have shown that for each gram of table salt that is consumed that the body can not process, your body will use 20 TIMES the amount of cellular water to neutralize the amount of sodium chloride that is present in this chemically treated salt.. ."	authority	authority	authority	salt	0.860100378	salt	0.80625
6512	"The scandal may impede Brazilâ€™s plans to open new markets including Mexico and South Korea for beef after the U.S. allowed imports of fresh meat last year, Antonio Carmadelli, the head of the Brazil meat exporters association Abiec, said to journalists in Sao Paulo.. ."	Antonio Carmadelli	unknown	PERSON	meat	0.770432692	meat	0.7578125
6515	"â€œWith MRI-guided radiation therapy, weâ€™re able to watch the movement of tumors and organs in the body as radiation is being delivered and adapt the dose of radiation in real-time, to help ensure the maximum dose reaches the tumor and that surrounding healthy tissue is spared,â€ù said Sasa Mutic, Ph.D., director of Radiation Oncology Physics at Washington University School of Medicine."	Sasa Mutic	Radiation Oncology Physics	PERSON	liver	0.830931328	liver	0.80625
